gpa,english_proficiency,extracurriculars,applied_university_id,applied_major_category,admission_decision
2.97,4,1,17,ទេសចរណ៍,1
3.39,5,5,11,សារព័ត៌មាន,1
3.4,5,5,42,អប់រំ,1
3.13,7,3,8,សុខភាព,1
3.41,2,4,43,ព្រៃឈើ,1
2.63,7,0,47,ជលផល,1
3.23,10,3,9,សុខភាព,1
3.25,6,3,21,ជលផល,1
3.24,8,1,47,សារព័ត៌មាន,1
3.68,9,5,38,កសិកម្ម,1
3.04,7,3,22,ធុរកិច្ច,1
3.09,2,2,24,បច្ចេកវិទ្យា,1
2.46,7,5,37,បច្ចេកវិទ្យា,1
3.19,5,4,12,សេដ្ឋកិច្ច,1
3.12,2,2,12,វិទ្យាសាស្ត្រ,1
2.4,1,0,31,វិស្វកម្ម,0
3.37,10,0,25,ព្រៃឈើ,1
2.64,10,4,26,បរិស្ថាន,1
2.72,10,3,3,ស្ថាបត្យកម្ម,0
3.08,3,2,28,ជលផល,0
2.97,7,3,1,ភាសា,1
3.2,2,5,6,សិល្បៈ,1
3.31,8,3,31,បុរាណវិទ្យា,1
2.65,2,2,29,រដ្ឋបាល,1
3.73,8,4,35,ភាសា,1
2.82,6,3,23,រដ្ឋបាល,1
3.23,10,5,11,វេជ្ជសាស្ត្រ,1
3.77,4,1,23,កសិកម្ម,1
3.1,6,2,10,ជលផល,1
3.29,7,4,17,វិទ្យាសាស្ត្រ,1
3.25,4,2,13,សុខភាព,1
2.46,3,2,20,ធុរកិច្ច,1
2.69,8,2,27,វិទ្យាសាស្ត្រ,1
2.54,5,5,42,សេដ្ឋកិច្ច,0
2.83,7,2,34,ធុរកិច្ច,1
3.41,4,3,12,បច្ចេកវិទ្យា,1
3.25,10,3,26,បរិស្ថាន,0
3.87,7,3,46,វិទ្យាសាស្ត្រ,1
3.42,2,1,33,បរិស្ថាន,1
2.94,5,5,17,អប់រំ,1
3.04,5,2,31,ព្រៃឈើ,0
3.68,6,2,47,បច្ចេកវិទ្យា,1
2.04,1,3,26,ភាសា,1
3.51,2,0,23,កសិកម្ម,1
3.15,4,4,24,បុរាណវិទ្យា,1
3.88,3,1,46,បរិស្ថាន,1
2.8,7,2,40,ច្បាប់,1
2.77,1,5,1,ភាសា,1
2.9,2,0,42,វិទ្យាសាស្ត្រ,0
2.89,8,5,26,ស្ថាបត្យកម្ម,1
3.24,2,4,15,សិល្បៈ,1
3.36,2,1,38,ព្រៃឈើ,1
3.61,4,4,48,សេដ្ឋកិច្ច,1
3.48,6,1,27,សិល្បៈ,1
3.26,4,3,37,ភាសា,1
3.04,10,4,15,វិទ្យាសាស្ត្រ,1
3.15,5,5,14,ភាសា,1
3.49,3,4,7,បច្ចេកវិទ្យា,1
3.29,7,4,10,ទេសចរណ៍,1
3.4,9,0,42,បរិស្ថាន,1
3.63,10,1,6,ភាសា,1
2.73,8,4,25,វេជ្ជសាស្ត្រ,1
3.26,3,0,37,បរិស្ថាន,1
3.41,9,2,39,ច្បាប់,1
2.93,1,5,12,វិស្វកម្ម,1
3.13,6,4,19,វេជ្ជសាស្ត្រ,1
3.14,10,2,27,ព្រៃឈើ,1
2.67,1,0,48,អប់រំ,1
3.36,8,4,39,ច្បាប់,1
2.52,4,5,44,វិទ្យាសាស្ត្រ,1
2.71,4,5,23,ជលផល,1
3.25,9,0,11,វិស្វកម្ម,1
2.98,9,2,38,បរិស្ថាន,1
3.41,3,5,1,សេដ្ឋកិច្ច,1
3.28,4,5,26,វិទ្យាសាស្ត្រ,1
3.66,8,2,27,បុរាណវិទ្យា,1
3.51,3,4,17,ទំនាក់ទំនងអន្តរជាតិ,1
2.88,8,1,27,បច្ចេកវិទ្យា,0
3.32,7,2,16,ទេសចរណ៍,1
